"tag","class","text_preview","href"
"span"," checkbox ","Playstation (3)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Playstation (3)",""
"span"," checkbox ","Poly (4)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Poly (4)",""
"span"," checkbox ","Raptor (5)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Raptor (5)",""
"span"," checkbox ","Razer (51)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Razer (51)",""
"span"," checkbox ","Royal (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Royal (1)",""
"span"," checkbox ","Sandisk (21)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Sandisk (21)",""
"span"," checkbox ","Skullcandy (4)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Skullcandy (4)",""
"span"," checkbox ","Targus (4)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Targus (4)",""
"span"," checkbox ","Thermaltake (4)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Thermaltake (4)",""
"span"," checkbox ","Trust (93)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Trust (93)",""
"span"," checkbox ","Wd (3)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Wd (3)",""
"span"," checkbox ","Zowie (11)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Zowie (11)",""
"div","mb-3","Precio",""
"div","form-group","Desde
				
				
				  
			
			
				Hasta
				
				
				
			
			Aplicar",""
"label","form-label","Desde",""
"label","form-label","Hasta",""
"div","my-1 pr-3 d-flex align-items-center","Color",""
"div","mb-0","Color",""
"div","my-1","",""
"span"," checkbox m-0","Blanco (54)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Blanco (54)",""
"div","my-1 pr-3 d-flex align-items-center","Capacidad",""
"div","mb-0","Capacidad",""
"div","my-1","",""
"span"," checkbox m-0","32 Gb (3)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","32 Gb (3)",""
"ul","radio-button-container list-unstyled mb-3","Precio: menor a mayor
										
									
								
							
																														
								
",""
"li","radio-button-item","Precio: menor a mayor",""
"a","js-apply-sort-private radio-button ","Precio: menor a mayor",""
"div","radio-button-content","Precio: menor a mayor",""
"span","radio-button-icons-container","",""
"div","radio-button-icon  unchecked","",""
